"X","airt","rh","parr","bar","datetime_posx","UNIQUE_REMARK","SECONDS","NDX","REMARK","DATE","TIME","H2O","CO2","CH4","CAVITY_P","CAVITY_T","LASER_PHASE_P","LASER_T","RESIDUAL","RING_DOWN_TIME","THERMAL_ENCLOSURE_T","PHASE_ERROR","LASER_T_SHIFT","INPUT_VOLTAGE","CHK","ERROR","ERROR_comment","TEMPORAL_CHECK","PLOT","SPECIES","DBH","OLD_TAG","DEPTH1","DEPTH2","DEPTH3","DEPTH4","MEAN_DEPTH","RADIUS","VOLUME_CYLINDER","VOLUME_CAP","VOLUME_TUBES","VOLUME_CM3","VOLUME","roll_cor","vol_system","pres_torr","nmol","surfarea","CO2_ln_R2","CH4_ln_R2","CO2_ln_slope","CH4_ln_slope","CO2_SE","CH4_SE","index_CO2_ln_R2","CO2_R2_Remark_Rank","CO2_flux_umolpm2ps","CH4_flux_nmolpm2ps"
16,0,45,1439,1021,"2025-04-09 10:14:00",19,1744208090,30877,422,"2025-04-09","10:14:50",3471.3457,450.58408,2007.5767,40.1243,55.0003,31.4954,36.4002,0.00223571,11.3967,54.5005,129.25,-0.207435,15.5205,72,FALSE,NA,155,"BGS","rm",18.8,23,3.5,3.5,5.7,4,4.175,5.08,338.480596,19.79203372,28.88,387.1526298,0.3871526298,0.666988109664955,0.4151526298,765.813302,0.0186637314575028,0.00810731966555996,0.735750061467602,0.247719554080893,0.0304159958321772,0.00434737149209001,0.00550999896048355,0.00229004321540647,"2757:2816",1,0.070020179497273,0.0100080146610042
17,0,45,1439,1021,"2025-04-09 10:21:00",21,1744208491,32481,425,"2025-04-09","10:21:31",3166.0222,445.17673,2006.728,40.1243,55.0003,31.4786,36.4,0.00222368,11.3978,54.4998,-17,-0.207435,15.4487,250,FALSE,NA,143,"BGS","hem",26.1,11,4.2,4,4.4,4.6,4.3,5.08,348.6147456,19.79203372,28.88,397.2867793,0.3972867793,0.975946508401635,0.4252867793,765.813302,0.0191193254517148,0.00810731966555996,0.992747653592928,0.147321021711999,0.184093751597668,0.00241825229231304,0.00487236882026605,0.00180153745985669,"3034:3093",1,0.434144513306279,0.00570291471267588
18,0.3,43,1476,1021,"2025-04-09 10:24:00",22,1744208680,33237,424,"2025-04-09","10:24:40",3303.0896,435.74429,2007.6962,40.1276,55.0003,31.4696,36.4002,0.00222862,11.3973,54.4998,389.5,-0.207435,15.4153,63,FALSE,NA,150,"BGS","rm",17.1,21,3.2,3,4.5,4.4,3.775,5.08,306.0513174,19.79203372,28.88,354.7233511,0.3547233511,0.813047177779986,0.3827233511,765.813302,0.0171869542712458,0.00810731966555996,0.916796677369452,0.95878984657136,0.050698439844403,0.0249861711586598,0.00425143987763515,0.0014419418298214,"3177:3236",1,0.107477169172294,0.0529689464375826
19,0.3,43,1476,1021,"2025-04-09 10:31:00",24,1744209114,34973,427,"2025-04-09","10:31:54",3256.2249,461.54315,2012.226,40.1243,55.001,31.4688,36.4,0.00223317,11.3974,54.5013,-246.25,-0.207435,15.3239,123,FALSE,NA,138,"BGS","bg",19.6,14,3.2,2.7,4,4.6,3.625,5.08,293.8903379,19.79203372,28.88,342.5623716,0.3425623716,0.635242446665457,0.3705623716,765.813302,0.0166408412683173,0.00810731966555996,0.056868788077783,0.993302869193276,-0.00440066685190211,0.0929633926090605,0.00483004912855044,0.00205730884981428,"3493:3552",1,-0.00903267683749222,0.190813872400181
20,0.3,43,1476,1021,"2025-04-09 10:34:00",25,1744209299,35713,428,"2025-04-09","10:34:59",3523.6184,435.91708,2007.6498,40.1321,55.001,31.4696,36.4002,0.00223522,11.3963,54.5005,307,-0.207435,15.3149,168,FALSE,NA,130,"BGS","hem",28.8,15,4.9,5.1,5.3,5.8,5.275,5.08,427.6611124,19.79203372,28.88,476.3331461,0.4763331461,0.734558953735804,0.5043331461,765.813302,0.0226480843005302,0.00810731966555996,0.974584195396716,0.743072533620315,0.069088330091692,0.00823247846624338,0.00409248525970943,0.00177566259016409,"3622:3681",1,0.193000694267237,0.0229977198380152
21,0.4,43,1511,1021,"2025-04-09 10:39:00",26,1744209568,36789,429,"2025-04-09","10:39:28",3338.748,450.85931,2007.0601,40.1313,55.0008,31.4712,36.3998,0.00222812,11.3978,54.5005,73.5,-0.207435,15.2564,235,FALSE,NA,145,"BGS","hem",18.5,16,3.1,2.9,4.4,4.3,3.675,5.08,297.9439977,19.79203372,28.88,346.6160314,0.3466160314,0.944362584432542,0.3746160314,765.813302,0.0168167290975287,0.00810731966555996,0.988056912606848,0.27612688254517,0.124485554042791,0.00289656015559908,0.00372766190414346,0.00127734927487554,"3797:3856",1,0.258216022711716,0.00600823323376887
22,0.4,43,1511,1021,"2025-04-09 10:42:00",27,1744209770,37597,431,"2025-04-09","10:42:50",3358.2727,447.4603,2009.632,40.1313,55.001,31.4663,36.3998,0.00222985,11.3978,54.5005,-44,-0.207435,15.2203,46,FALSE,NA,140,"BGS","bg",16.9,18,3,2.9,4.3,4,3.55,5.08,287.8098481,19.79203372,28.88,336.4818818,0.3364818818,0.832584793008269,0.3644818818,765.813302,0.0163618012936647,0.00810731966555996,0.962454009789533,0.983564602762686,0.0605907579883308,0.0367055098638502,0.00317130486465698,0.00125736028447464,"3920:3979",1,0.122281343691056,0.0740772886168769
23,0.4,43,1511,1021,"2025-04-09 10:46:00",28,1744209968,38389,443,"2025-04-09","10:46:08",3329.9739,451.00882,2015.7366,40.1321,55.0003,31.4778,36.3998,0.00221861,11.3962,54.5005,63.5,-0.207435,15.1929,25,FALSE,NA,137,"BGS","bg",24.7,20,3.7,3.8,5.6,4.1,4.3,5.08,348.6147456,19.79203372,28.88,397.2867793,0.3972867793,0.817799498763821,0.4252867793,765.813302,0.0190913681123594,0.00810731966555996,0.947020507459992,0.998149181246298,0.0554214701305923,0.165817804945813,0.00405319972654802,0.00220780716085883,"4056:4115",1,0.130508198916341,0.390472916376027
24,0.4,43,1511,1021,"2025-04-09 10:49:00",29,1744210172,39205,444,"2025-04-09","10:49:32",3898.656,435.64435,2008.9039,40.1375,55.0003,31.4856,36.3998,0.00225214,11.3953,54.5005,-38.5,-0.207435,15.1627,10,FALSE,NA,126,"BGS","bg",25.2,19,4.8,4.8,5,4.9,4.875,5.08,395.2318337,19.79203372,28.88,443.9038674,0.4439038674,0.613382722822137,0.4719038674,765.813302,0.0211840360074401,0.00810731966555996,0.931237588263112,0.966004474628679,0.055995129758267,0.0272037427063127,0.00522051044265172,0.00175092434035225,"4218:4277",1,0.146312578505991,0.0710820701292601
25,1.5,42,1534,1021,"2025-04-09 10:53:00",30,1744210401,40121,442,"2025-04-09","10:53:21",4656.1206,444.62268,2013.2598,40.1416,55.001,31.4848,36.3998,0.00229665,11.3919,54.5011,-242,-0.207435,15.1352,184,FALSE,NA,132,"BGS","rm",17.3,13,3.5,3.4,4.8,4.4,4.025,5.08,326.3196165,19.79203372,28.88,374.9916503,0.3749916503,0.826977141647426,0.4029916503,765.813302,0.0180180726268564,0.00810731966555996,0.985163418681091,0.980651311416625,0.10780459599889,0.0494033703806701,0.00386070926245324,0.00202507950305805,"4355:4414",1,0.239589792970468,0.109796276975705
1,3.8,31,1132,1028,"2025-04-10 09:01:00",1,1744290114,12885,895,"2025-04-10","09:01:54",3447.5364,447.22833,2007.9078,40.0714,55.001,31.7577,36.3996,0.00225094,11.3947,54.5005,81.75,-0.207435,16.0156,210,FALSE,NA,175,"E5","rm",24.02,NA,2.8,2.5,3.5,3.5,3.075,5.08,249.3000797,19.79203372,28.88,297.9721134,0.2979721134,0.878865907519322,0.3259721134,771.063736,0.0145525245228521,0.00810731966555996,0.977984592835969,0.078669145629866,0.103627869130315,0.00206848569046795,0.00366455267081248,0.00166841911738833,"35:94",1,0.186010564400961,0.00371290265802346
2,3.8,31,1132,1028,"2025-04-10 09:07:00",2,1744290427,14137,892,"2025-04-10","09:07:07",3490.5833,438.77148,2008.0123,40.0816,55.0012,31.6805,36.3994,0.00223897,11.3947,54.4998,87.5,-0.207435,15.9897,7,FALSE,NA,151,"E5","rm",20.31,NA,5,4.9,5.8,5,5.175,5.08,419.5537927,19.79203372,28.88,468.2258264,0.4682258264,0.758245498219198,0.4962258264,771.063736,0.0221532401414266,0.00810731966555996,0.891248783956096,0.402367010494609,0.0321113670464023,0.00438988052237077,0.00402459646869479,0.00191957356181732,"215:274",1,0.0877442675006833,0.0119953426552762
3,4.1,32,1207,1028,"2025-04-10 09:11:00",3,1744290662,15077,889,"2025-04-10","09:11:02",3654.5845,443.61301,2008.6326,40.0882,55.001,31.653,36.3994,0.00224386,11.3941,54.4998,-186,-0.207435,15.9725,130,FALSE,NA,132,"E5","hem",29.41,NA,4.9,4.6,4.9,5,4.85,5.08,393.2050038,19.79203372,28.88,441.8770375,0.4418770375,0.615141117919548,0.4698770375,771.063736,0.0209542406948385,0.00810731966555996,0.286205951073332,0.0209787259914238,0.00860414031675603,0.000760830786326974,0.00461142606459308,0.00176390512081556,"398:457",1,0.022238327166913,0.00196644909568119
4,4.1,32,1207,1028,"2025-04-10 09:13:00",4,1744290803,15641,880,"2025-04-10","09:13:23",3506.8943,438.07431,2008.3545,40.0903,55.001,31.6555,36.3998,0.00223211,11.3952,54.4998,-141.25,-0.207435,15.9623,50,FALSE,NA,141,"E5","ro",39.55,NA,5.7,5.3,5.3,5.2,5.375,5.08,435.768432,19.79203372,28.88,484.4404657,0.4844404657,0.66673966955796,0.5124404657,771.063736,0.0228523634974458,0.00810731966555996,0.85005051620905,0.064182369654689,0.0353011233676011,0.00148215615448918,0.005487549807754,0.00209469853426733,"491:550",1,0.099504415311454,0.00417780136957553
5,4.1,32,1207,1028,"2025-04-10 09:16:00",5,1744290991,16393,893,"2025-04-10","09:16:31",3210.468,439.8616,2007.9965,40.0927,55.0014,31.6325,36.3996,0.00222396,11.3961,54.4998,-8.25,-0.207435,15.9501,154,FALSE,NA,138,"E5","hem",26.45,NA,4.9,5,5.2,5.4,5.125,5.08,415.5001329,19.79203372,28.88,464.1721666,0.4641721666,0.783483467607427,0.4921721666,771.063736,0.0219484954981155,0.00810731966555996,0.901335738499772,0.167988552353896,0.0408134629063627,0.00255028341205625,0.00480013604238219,0.00201756119017944,"640:699",1,0.110492017561384,0.0069042404021908
6,4.1,32,1207,1028,"2025-04-10 09:20:00",7,1744291227,17341,876,"2025-04-10","09:20:27",3546.2026,437.76749,2008.5844,40.1005,55.001,31.6259,36.3994,0.00223691,11.3953,54.4998,-42.25,-0.207435,15.9332,85,FALSE,NA,82,"E5","hem",32.87,NA,5.1,4.9,5,4.9,4.975,5.08,403.3391534,19.79203372,28.88,452.0111871,0.4520111871,0.606632581034403,0.4800111871,771.063736,0.0214061746967335,0.00810731966555996,0.194761891830397,0.00810482375570906,0.0056105673798297,-0.0004691608780201,0.00395516605183145,0.0017994122105167,"817:876",1,0.0148138707285244,-0.00123874968917702
7,4.2,32,1248,1028,"2025-04-10 09:23:00",8,1744291388,17985,905,"2025-04-10","09:23:08",2961.5559,436.90152,2008.8597,40.1001,55.001,31.6185,36.3998,0.00220806,11.3978,54.5005,0,-0.207435,15.9203,83,FALSE,NA,141,"E5","hem",23.93,NA,3.6,3.6,4.2,4.2,3.9,5.08,316.185467,19.79203372,28.88,364.8575007,0.3648575007,0.610007841426083,0.3928575007,771.063736,0.0175132255245338,0.00810731966555996,0.242724989576722,0.0999606480045896,0.00691641706029609,0.00160533203669166,0.0034651783065583,0.00136633104653916,"931:990",1,0.0149406680377062,0.00346779739298689
8,4.2,32,1248,1028,"2025-04-10 09:26:00",9,1744291595,18813,903,"2025-04-10","09:26:35",3167.7612,442.01047,2008.6835,40.1042,55.001,31.6071,36.3998,0.00222314,11.3971,54.4998,7.75,-0.207435,15.9022,229,FALSE,NA,123,"E5","ro",34.78,NA,4.8,5.1,5,4.8,4.925,5.08,399.2854935,19.79203372,28.88,447.9575272,0.4479575272,0.878869353179209,0.4759575272,771.063736,0.0212177481633941,0.00810731966555996,0.967235541705559,0.0725217770227796,0.0805409827729927,0.00140982217283615,0.00509401587074527,0.00173256674786723,"1039:1098",1,0.210784619307544,0.00368965984473002
9,4.5,32,1320,1028,"2025-04-10 09:48:00",10,1744292889,23989,288,"2025-04-10","09:48:09",3414.8098,448.88596,2008.8419,40.1227,55.0003,31.5746,36.3982,0.00220977,11.396,54.5005,60.5,-0.209033,15.7724,20,FALSE,NA,132,"D2","hem",24.94,NA,3.2,3.2,3.9,3.8,3.525,5.08,285.7830182,19.79203372,28.88,334.4550519,0.3344550519,0.976690304855387,0.3624550519,771.063736,0.0161404537840928,0.00810731966555996,0.99103730469752,0.295343120760731,0.152604225062517,0.00310147818838385,0.00379372039471894,0.0012523294571099,"1171:1230",1,0.303812054228249,0.00617457648483184
10,4.5,32,1320,1028,"2025-04-10 09:51:00",11,1744293075,24733,583,"2025-04-10","09:51:15",2892.2698,439.73892,2009.2439,40.1206,55.0003,31.5828,36.3982,0.00218826,11.398,54.5005,26.5,-0.209033,15.7453,234,FALSE,NA,141,"D2","rm",22.11,NA,2.8,2.6,3.9,3.9,3.3,5.08,267.541549,19.79203372,28.88,316.2135827,0.3162135827,0.964127301926128,0.3442135827,771.063736,0.0153281445362752,0.00810731966555996,0.984267989018269,0.0549749125139934,0.108097245623786,0.00130365657126205,0.00339272267125621,0.00134184047111703,"1296:1355",1,0.204374598911316,0.00246476482663639
11,5.1,31,982,1028,"2025-04-10 09:55:00",12,1744293302,25641,386,"2025-04-10","09:55:02",3360.333,437.39313,2008.0209,40.1251,55.001,31.6021,36.3978,0.00221089,11.3962,54.5013,9.25,-0.209033,15.7143,125,FALSE,NA,143,"C2","ro",42.74,NA,5.2,5,4.8,4.4,4.85,5.08,393.2050038,19.79203372,28.88,441.8770375,0.4418770375,0.825908397863604,0.4698770375,771.063736,0.0208789334506522,0.00810731966555996,0.921501675609142,0.554077813880802,0.0586359177549335,0.00662768824672928,0.00578712511357181,0.00201058874801629,"1439:1498",1,0.151006186400153,0.0170684107132185
12,5.1,31,982,1028,"2025-04-10 09:58:00",13,1744293524,26529,380,"2025-04-10","09:58:44",3090.5115,440.40875,2014.1567,40.1239,55.001,31.6128,36.3982,0.00220329,11.3975,54.5005,-480,-0.209033,15.6774,209,FALSE,NA,133,"C2","rm",21.72,NA,4.5,3.8,2.9,3,3.55,5.08,287.8098481,19.79203372,28.88,336.4818818,0.3364818818,0.797939324485304,0.3644818818,771.063736,0.0161957115303186,0.00810731966555996,0.96866282806298,0.993422909025693,0.08328159488747,0.0667200944706894,0.00392917484835207,0.00142401718480557,"1602:1661",1,0.166368755917207,0.133284420486491
13,5.1,31,982,1028,"2025-04-10 10:03:00",14,1744293831,27757,529,"2025-04-10","10:03:51",2916.2021,437.77176,2009.8029,40.1276,55.0003,31.6095,36.3978,0.00219378,11.3987,54.5005,-65.25,-0.209033,15.635,73,FALSE,NA,130,"D1","rm",26.17,NA,5.2,5.3,5.2,4.9,5.15,5.08,417.5269628,19.79203372,28.88,466.1989965,0.4661989965,0.87073571762299,0.4941989965,771.063736,0.0219596769703874,0.00810731966555996,0.955393130892739,0.860250238395193,0.0624588149485977,0.010685223673242,0.00479996650592373,0.00153172714157723,"1716:1775",1,0.169177417050778,0.0289422484742403
14,5,31,1123,1027,"2025-04-10 10:08:00",15,1744294105,28853,544,"2025-04-10","10:08:25",3467.6116,447.1965,2010.3356,40.1329,55.0003,31.6083,36.3978,0.00221741,11.3953,54.5005,56.75,-0.209033,15.5915,2,FALSE,NA,129,"D1","ro",35.85,NA,3.5,3.1,3.9,3.8,3.575,5.08,289.836678,19.79203372,28.88,338.5087118,0.3385087118,0.733973719901972,0.3665087118,770.313674,0.0162757806390415,0.00810731966555996,0.966152834527832,0.288405215085718,0.0666329649902752,0.00276949152542225,0.00328759195202488,0.00114674115251628,"1880:1939",1,0.13376844212985,0.00555986915637967
15,5,31,1123,1027,"2025-04-10 10:13:00",16,1744294396,30017,362,"2025-04-10","10:13:16",3022.8733,435.97858,2010.5579,40.1334,55.0003,31.6103,36.3978,0.00219796,11.3983,54.5005,142.25,-0.209033,15.5425,104,FALSE,NA,154,"C1","ro",42.68,NA,5.2,5.2,4.9,4.8,5.025,5.08,407.3928132,19.79203372,28.88,456.0648469,0.4560648469,0.642160309930378,0.4840648469,770.313674,0.0214961691484018,0.00810731966555996,0.773310039367862,0.21865095728277,0.0212393559322039,0.00280610169491908,0.00400359777342069,0.00184680071281914,"2029:2088",1,0.0563151333061726,0.00744024402267493
16,5,31,1123,1027,"2025-04-10 10:16:00",17,1744294565,30693,366,"2025-04-10","10:16:05",3612.6621,435.49164,2010.2621,40.1379,55.0003,31.6046,36.3978,0.00222183,11.3955,54.5007,92.25,-0.209033,15.5185,46,FALSE,NA,146,"C1","ro",37.11,NA,5,5.2,5,5.1,5.075,5.08,411.446473,19.79203372,28.88,460.1185067,0.4601185067,0.725438442812203,0.4881185067,770.313674,0.0216761825438981,0.00810731966555996,0.887874234559994,0.59178077999063,0.0407477363156462,0.00645598499584807,0.00508360708817082,0.00188243641013145,"2150:2209",1,0.108945423033047,0.0172610819658613
