LABEL,DATE_TIME initial_value,COMMENT,VOLUME_TOTAL,VOLUME,COLLAR_HEIGHT,TA initial_value,FCH4_DRY LIN,FCO2_DRY LIN,FCH4_DRY LIN_R2,FCO2_DRY LIN_R2,FCO2_DRY LIN_SE,FCH4_DRY LIN_SE,DOY initial_value,SWC_2 mean,TS_2 mean,EC_2 mean,PA mean,CH4_DRY mean,CO2_DRY mean,OBSERVATION,FCO2_DRY LIN_dCdt,CH4_DRY DEADBAND,LATITUDE,LONGITUDE,FCH4_DRY LIN_CV,FCH4_DRY LIN_dCdt,FCO2_DRY LIN_CV
436,5/24/24 14:24,No moss,6040.06,4244.1,5.5,25.65813,48.20857,-4.06245,0.95163,0.794,0.07855,0.41259,145.60005,0.08235,23.4,0.0027,96.74,2060.392,414.31,19,-0.55603,5,42.53731,-72.18282,6.34736,6.59836,14.16918
903,6/5/24 10:20,No moss,5881.06,4244.1,5,19.4895,-2.23973,7.42068,0.98817,0.9773,0.04329,0.00938,157.43095,0.271,19.7,0.012,97.31,2043.575,450.96,20,1.02425,5,42.53808,-72.17736,3.22378,-0.30914,4.36436
905,6/5/24 10:22,No moss,5563.06,4244.1,4,19.15527,-1.56291,6.11949,0.98262,0.99459,0.01825,0.0084,157.43225,0.3534,19.6,0.01805,97.31,2045.156,439.34,20,0.89188,5,42.53807,-72.1774,3.84594,-0.22779,2.31717
893,6/5/24 10:24,No moss,5722.06,4244.1,4.5,19.18183,-1.12353,6.60032,0.96165,0.9723,0.04377,0.00882,157.43351,0,19.54,0,97.31,2048.998,437.42,20,0.93512,5,42.53814,-72.17736,5.64463,-0.15918,4.8058
880,6/5/24 10:26,No moss,5563.06,4244.1,4,19.179,-2.13341,7.59181,0.97073,0.98811,0.03367,0.01498,157.43478,0,19.6,0,97.31,2046.99,442.73,20,1.1067,5,42.53814,-72.17734,4.93701,-0.311,3.23132
889,6/5/24 10:28,No moss,5881.06,4244.1,5,19.22959,-2.16378,7.68017,0.91917,0.9261,0.08301,0.02455,157.43622,0,19.6,0,97.3,2045.893,449.82,19,1.0595,5,42.53812,-72.17731,8.29652,-0.2985,7.91004
889soil,6/5/24 10:30,No mos ignore flux use soil,5881.06,4244.1,5,19.324,-1.53912,6.35555,0.92992,0.89943,0.08135,0.01617,157.43765,0.1357,19.6,0.006,97.3,2042.61,451.7,20,0.87719,5,42.53817,-72.1772,7.69108,-0.21243,9.33768
880soil,6/5/24 10:31,No mos ignore flux use soil,5563.06,4244.1,4,19.33287,-2.22517,7.06334,0.98796,0.99368,0.02281,0.00994,157.43885,0,19.5,0,97.3,2046.246,446.09,19,1.03074,5,42.53815,-72.17729,3.24991,-0.32471,2.46556
892,6/5/24 10:33,No moss,5881.06,4244.1,5,19.32185,-1.27344,5.86309,0.9575,0.96351,0.04368,0.01027,157.4402,0,19.4,0,97.3,2047.783,440,20,0.80934,5,42.53812,-72.17726,5.94358,-0.17579,5.50614
892soil,6/5/24 10:34,No moss,5881.06,4244.1,5,19.29935,-1.28678,5.53578,0.98049,0.99329,0.01742,0.00695,157.44094,0,19.5,0.001,97.3,2046.484,448.38,19,0.76422,5,42.53807,-72.17725,4.06035,-0.17764,2.52544
892soil2,6/5/24 10:36,No moss,5881.06,4244.1,5,19.36339,-1.33052,5.24947,0.97978,0.98454,0.02518,0.00732,157.44225,0,19.8,0,97.3,2044.057,443.06,19,0.72455,5,42.53808,-72.17728,4.13001,-0.18364,3.64181
895,6/5/24 10:38,No moss,5563.06,4244.1,4,19.5812,-1.28725,7.33195,0.98768,0.99356,0.02391,0.00582,157.44343,0.352,19.9,0.015,97.3,2042.986,451.1,20,1.07061,5,42.53808,-72.17729,3.28328,-0.18796,2.48459
386,6/5/24 10:49,No moss,5722.06,4244.1,4.5,20.8945,-3.99027,6.97624,0.96785,0.96168,0.0551,0.02878,157.4512,0,21.1,0,97.42,2031.71,447.05,19,0.99523,5,42.53666,-72.17314,5.17064,-0.56925,5.64168
380,6/5/24 10:54,No moss,5563.06,4244.1,4,20.92234,-3.50393,6.83152,0.9775,0.98401,0.03544,0.02163,157.45432,0.0745,21.1,0.002,97.44,2030.959,446.42,19,1.00227,5,42.53668,-72.17309,4.34544,-0.51407,3.69894
583,6/5/24 10:56,No moss,5881.06,4244.1,5,21.51128,-3.76343,6.25136,0.97918,0.98481,0.02996,0.02118,157.45608,0,21.1,0,97.43,2029.271,444.44,20,0.87005,5,42.5368,-72.17324,4.18716,-0.52379,3.61111
288,6/5/24 10:59,No moss,5563.06,4244.1,4,21.03865,-4.17623,16.80816,0.99526,0.99694,0.03787,0.01173,157.45772,0,21.6,0.001,97.43,2039.197,447.73,20,2.46586,5,42.53687,-72.17332,2.20097,-0.61268,1.8811
529,6/5/24 11:07,No moss,5881.06,4244.1,5,21.18461,-1.49304,4.31838,0.97322,0.98423,0.02106,0.00954,157.46352,0.472,21.6,0.027,97.48,2035.988,445.82,19,0.59995,5,42.53739,-72.1725,4.72709,-0.20743,3.67497
544,6/5/24 11:10,No moss,5722.06,4244.1,4.5,21.48568,-2.60974,5.27459,0.98824,0.98095,0.02915,0.01129,157.46571,0.32,21.4,0.011,97.48,2027.11,458.53,20,0.75431,5,42.53726,-72.17243,3.21483,-0.37321,4.01423
366,6/5/24 11:14,No moss,5881.06,4244.1,5,21.04055,-2.47294,9.06574,0.97698,0.97714,0.0534,0.01462,157.46818,0.054,21.17,0.0024,97.5,2031.134,465.86,19,1.25887,5,42.53732,-72.17209,4.39338,-0.34339,4.37852
362,6/5/24 11:16,No moss,6199.06,4244.1,6,20.89957,-3.23221,10.38991,0.99572,0.99752,0.01892,0.00773,157.46953,0,20.8,0,97.5,2036.774,466.21,20,1.36742,5,42.53728,-72.1721,2.11698,-0.42539,1.75838
356,6/5/24 11:18,No moss,5563.06,4244.1,4,20.72414,-1.62252,6.67528,0.98687,0.99193,0.02447,0.00761,157.47152,0,20.6,0.001,97.5,2039.705,441.64,19,0.97843,5,42.53737,-72.172,3.37871,-0.23782,2.72655
351,6/5/24 11:21,No moss,5563.06,4244.1,4,20.87718,-2.79368,4.53044,0.98357,0.97462,0.02974,0.01469,157.47323,0.2242,20.605,0.00955,97.49,2031.681,450.34,19,0.66454,5,42.53744,-72.17212,3.74566,-0.40979,4.60569
217,6/5/24 11:23,No moss,5245.06,4244.1,3,21.0429,-2.4227,4.49597,0.98678,0.98604,0.02308,0.0121,157.47499,0.361,20.5,0.015,97.49,2036.356,439.35,19,0.69942,5,42.53747,-72.17196,3.3888,-0.37689,3.47391
678,6/5/24 11:28,No moss,6040.06,4244.1,5.5,21.19924,24.95702,15.75559,0.97859,0.97284,0.09859,0.13826,157.47813,0.661,20.3,0.017,97.49,2100.791,479.22,20,2.12765,5,42.53773,-72.17178,4.24353,3.37021,4.75917
677,6/5/24 11:29,No moss,5563.06,4244.1,4,21.00072,0.40278,6.32986,0.63633,0.98555,0.03115,0.01238,157.47913,0,20.1,0,97.49,2055.715,466.91,19,0.92777,5,42.53775,-72.17183,20.99525,0.05904,3.52897
933,6/5/24 11:36,No moss,6517.06,4244.1,7,21.46406,57.36263,12.47133,0.95999,0.97372,0.07123,0.40714,157.48344,0.6783,20.65,0.0151,97.47,2188.63,441.67,20,1.56342,5,42.53795,-72.17233,5.76488,7.19104,4.68381
236,6/5/24 11:38,No moss,6040.06,4244.1,5.5,21.15659,-2.14398,5.6047,0.98169,0.98989,0.02124,0.01098,157.48514,0.282,20.3,0.008,97.46,2039.155,445.64,20,0.75755,5,42.538,-72.17252,3.94027,-0.28979,3.00604
165,6/5/24 11:41,No moss,5722.06,4244.1,4.5,21.69095,-2.53398,7.02614,0.98524,0.98516,0.03421,0.0123,157.48691,0.201,20.405,0.007,97.45,2055.622,458.29,19,1.00493,5,42.53807,-72.17248,3.56359,-0.36243,3.57335
175,6/5/24 11:43,No moss,6358.06,4244.1,6.5,22.1239,-2.43116,6.66995,0.96962,0.9766,0.03688,0.01537,157.48839,0.1435,20.55,0.0055,97.43,2036.847,439.78,20,0.85911,5,42.53815,-72.17265,5.02774,-0.31314,4.42848
153,6/5/24 11:45,No moss,6040.06,4244.1,5.5,22.28002,-2.06351,8.6867,0.97954,0.99664,0.019,0.01122,157.48986,0.1912,20.74,0.0074,97.43,2055.302,431.83,19,1.17886,5,42.53819,-72.17254,4.15255,-0.28004,1.94314
318,6/5/24 11:50,No moss,6040.06,4244.1,5.5,21.91684,-2.63801,7.19009,0.99151,0.98166,0.03698,0.00918,157.49333,0.22865,21.5,0.01275,97.44,2054.405,449.14,20,0.97527,5,42.53793,-72.17214,2.78661,-0.35782,3.9437
308,6/5/24 11:52,No moss,6199.06,4244.1,6,22.10479,-1.01035,7.92888,0.95097,0.94864,0.06767,0.00841,157.49491,0.497,21.7,0.026,97.43,2047.789,484.71,19,1.0485,5,42.53797,-72.17201,6.39073,-0.13361,6.54435
302,6/5/24 13:40,No moss,6358.06,4244.1,6.5,26.49695,-4.38076,5.59904,0.93868,0.94705,0.04794,0.04055,157.56963,0.3,29.5,0.013,97.3,2010.068,436.75,19,0.73102,5,42.5381,-72.17192,7.17163,-0.57196,6.64699
411,6/5/24 14:21,No moss,6311.1,4244.1,6.5,26.76614,-9999,-9999,-9999,-9999,-9999,-9999,157.59802,0.124,27.9,0.005,97.12,-9999,-9999,0,-9999,5,42.5372,-72.18333,-9999,-9999,-9999
412,6/5/24 14:24,No moss,6517.06,4244.1,7,26.26797,1.37302,8.14455,0.67362,0.78651,0.15015,0.03382,157.60013,0.241,27.1,0.01,97.12,2065.246,440.81,20,1.03914,5,42.53725,-72.18327,19.33628,0.17518,14.49084
413,6/5/24 14:25,No moss,6676.06,4244.1,7.5,25.90882,3.47507,13.5513,0.94641,0.9679,0.08526,0.02857,157.60138,0.1376,26.52,0.0048,97.11,2043.695,432.99,19,1.6881,5,42.53728,-72.18327,6.68902,0.43289,5.16667
452,6/5/24 14:27,No moss,5881.06,4244.1,5,25.63965,30547.82758,-155.90919,0.92946,0.04717,27.4468,329.62916,157.60238,0.358,26.3,0.02,97.11,29135.034,309.36,20,-22.01896,5,42.53724,-72.18324,7.71749,4314.25186,124.65545
432,6/5/24 14:30,No moss,6358.06,4244.1,6.5,27.27772,11.63419,0.33099,0.96407,0.01061,0.11612,0.0816,157.6048,0.3627,25.37,0.0114,97.11,2065.67,415.1,20,0.04335,5,42.53742,-72.18315,5.46373,1.52386,267.84805
433,6/5/24 14:32,moss,5881.06,4244.1,5,27.38565,264.35648,-4.58587,0.9007,0.35315,0.24436,3.45584,157.60601,0,25,0.001,97.1,3884.343,402.14,20,-0.65098,5,42.53742,-72.18313,9.27307,37.52621,37.55235
414,6/5/24 14:35,No moss,6199.06,4244.1,6,25.58246,-6.05898,5.06623,0.5153,0.91283,0.05831,0.21888,157.60815,0.5742,23.88,0.021,97.1,2478.7,428.82,20,0.68039,5,42.53744,-72.18295,26.92106,-0.81371,8.63955
434,6/5/24 14:37,No moss,6040.06,4244.1,5.5,25.44103,-1.21377,6.69791,0.60054,0.97059,0.04449,0.03778,157.60961,0.3608,23.78,0.0146,97.1,2202.216,433.49,20,0.92155,5,42.53749,-72.18294,22.6462,-0.167,4.94869
417,6/5/24 14:39,No moss,6199.06,4244.1,6,26.0493,2.91442,6.95311,0.98186,0.96904,0.04615,0.01471,157.61079,0,23.9,0.001,97.1,2046.795,424.42,20,0.93087,5,42.53747,-72.18282,3.9236,0.39018,5.07567
418,6/5/24 14:40,No moss,6994.06,4244.1,8.5,26.30164,2.90688,11.69857,0.96807,0.95652,0.08239,0.01744,157.61175,0.2464,24.1,0.0089,97.1,2073.197,433.84,20,1.39332,5,42.53748,-72.18284,5.15318,0.34621,6.01217
419,6/5/24 14:43,No moss,6676.06,4244.1,7.5,25.95317,0.9203,3.19388,0.86873,0.95836,0.02299,0.01236,157.61346,0.392,24.2,0.018,97.1,2044.842,424.77,20,0.39774,5,42.53748,-72.18255,10.83618,0.11461,5.88279
420,6/5/24 14:45,No moss,6676.06,4244.1,7.5,25.78551,11.01257,6.32413,0.97689,0.97946,0.03164,0.05851,157.6148,0.626,24.4,0.026,97.1,2116.825,432.71,19,0.78779,5,42.53751,-72.18247,4.40194,1.37182,4.16099
421,6/5/24 14:47,No moss,6835.06,4244.1,8,25.51936,1.1155,15.44416,0.96724,0.9857,0.06271,0.00692,157.6166,0.574,24.5,0.021,97.1,2058.514,436.82,20,1.877,5,42.53752,-72.18245,5.2186,0.13557,3.51347
411,6/7/24 9:37,No moss,6358.06,4244.1,6.5,20.53343,0.30354,18.60358,0.65354,0.98055,0.09423,0.00795,159.40124,0.21,22.3,0.009,96.24,2014.783,488.55,20,2.41212,5,42.5373,-72.18337,20.22364,0.03936,4.05775
435,6/7/24 9:41,moss,6199.06,4244.1,6,19.73405,16415.89948,-108.13085,0.94018,0.11434,11.06577,152.26032,159.40352,0.373,21.4,0.0135,96.25,29586.61,367.54,19,-14.3358,5,42.53742,-72.18276,7.0817,2176.39143,77.19756
438,6/7/24 9:43,moss,5404.06,4244.1,3.5,19.83424,73699.05853,292.43376,0.95445,0.24054,21.93512,679.66555,159.40486,0.2232,20.54,0.0082,96.26,104141.54,287.36,19,44.50956,5,42.5374,-72.18271,6.15784,11217.28357,49.29405
436,6/7/24 9:44,no moss,6040.06,4244.1,5.5,19.89765,40.856,-0.1238,0.8639,0.0003,0.26924,0.61304,159.40622,0.1288,20.18,0.005,96.26,2168.389,589.52,20,-0.01688,5,42.53735,-72.18275,11.06289,5.56893,1595.5028
441,6/7/24 9:50,moss,5881.06,4244.1,5,20.03166,253.3951,10.26915,0.98705,0.99254,0.03458,1.1275,159.41014,0.579,19.9,0.017,96.26,3357.766,432.88,20,1.43815,5,42.53744,-72.18235,3.36168,35.48696,2.64368
439,6/7/24 9:55,no moss,6835.06,4244.1,8,19.60029,19.14409,17.56411,0.88033,0.91248,0.18149,0.23549,159.41324,0.1865,19.9,0.0095,96.24,2082.175,483.34,19,2.11283,5,42.53762,-72.1823,10.28479,2.30289,8.65963
422,6/7/24 9:58,no moss,6199.06,4244.1,6,19.4568,3.7115,2.96195,0.99268,0.55648,0.09724,0.01172,159.41529,0.19495,19.865,0.0094,96.24,2032.591,482.28,19,0.39272,5,42.53778,-72.18226,2.62249,0.49211,24.78469
423,6/7/24 10:00,moss,6517.06,4244.1,7,19.76085,7557.50511,4.03622,0.91413,0.02224,0.9371,81.10423,159.41686,0.75,19.6,0.02,96.25,25877.819,492.42,20,0.50955,5,42.5379,-72.18227,8.57141,954.085,183.91178
425,6/7/24 10:02,moss,5881.06,4244.1,5,19.98475,-22.40743,3.66512,0.28932,0.37041,0.18571,1.36487,159.41829,0.727,19.2,0.024,96.25,3324.21,450.56,20,0.51359,5,42.53795,-72.1822,43.48205,-3.13993,36.17584
424,6/7/24 10:04,no moss,6517.06,4244.1,7,19.79926,9.19345,10.12987,0.99609,0.98866,0.03801,0.02017,159.42013,0.1377,19.3,0.0067,96.25,2071.166,436.37,20,1.27961,5,42.53789,-72.18216,2.05505,1.16132,3.16669
426,6/7/24 10:07,no moss,6676.06,4244.1,7.5,19.99315,3.87079,11.98296,0.98779,0.97977,0.05894,0.01473,159.42159,0.1014,19.52,0.0058,96.25,2063.332,444.99,20,1.47877,5,42.53798,-72.18212,3.27286,0.47768,4.13405
442,6/7/24 10:09,no moss,6676.06,4244.1,7.5,19.85428,7.20374,11.43706,0.40089,0.78331,0.20584,0.30135,159.42337,0.079,20,0.008,96.25,2117.277,454.3,20,1.41109,5,42.53813,-72.18207,33.92346,0.88879,14.62893
427,6/7/24 10:11,no moss,7153.06,4244.1,9,19.89749,2.02465,11.34561,0.96738,0.97776,0.05466,0.01188,159.42466,0.338,20.1,0.018,96.24,2028.634,444.67,20,1.30687,5,42.5382,-72.18195,5.20971,0.23321,4.32446
428,6/7/24 10:13,moss,6199.06,4244.1,6,19.8965,-185.06479,9.66398,0.76053,0.95799,0.0746,3.8282,159.42591,0.73,20.1,0.024,96.24,7442.196,473.98,20,1.28448,5,42.53822,-72.18196,15.60194,-24.59771,5.91064
429,6/7/24 10:15,no moss,6676.06,4244.1,7.5,19.46322,27.46265,5.26869,0.98616,0.95321,0.03985,0.11109,159.42774,0.1266,19.76,0.006,96.23,2152.892,451.94,20,0.64854,5,42.5383,-72.18203,3.46491,3.38046,6.24205
431,6/7/24 10:17,moss,6199.06,4244.1,6,19.53966,921.08234,3.19413,0.93045,0.91507,0.03893,10.07407,159.42906,0.00474,18.37895,0.00095,91.17,8645.186,420.14,18,0.42379,5,42.53832,-72.18188,8.31631,122.20753,9.25104
443,6/7/24 10:20,no moss,6517.06,4244.1,7,19.67611,2.54903,9.55279,0.49695,0.96252,0.066,0.08979,159.43058,0.189,19.3,0.0078,96.23,2059.898,444.18,19,1.20593,5,42.53827,-72.18179,27.92618,0.32179,5.5821
444,6/7/24 10:21,no moss,6199.06,4244.1,6,19.75836,-1.0125,8.38237,0.0959,0.97234,0.05208,0.11451,159.43184,0.021,19.5,0.002,96.23,2274.194,483.21,20,1.11322,5,42.53827,-72.18192,85.16577,-0.13446,4.80544
529,6/10/24 9:32,no moss,5881.06,4244.1,5,16.70267,-1.29275,0.81543,0.94216,0.56922,0.02699,0.01219,162.39765,0.368,20.3,0.019,96.31,2016.782,414.55,19,0.11185,5,42.53747,-72.17247,6.95925,-0.17732,24.15248
544,6/10/24 9:34,no moss,5722.06,4244.1,4.5,16.50635,-3.70445,3.223,0.98475,0.95538,0.02722,0.01802,162.39928,0.129,19.4,0.006,96.33,2009.237,425.59,20,0.45419,5,42.53735,-72.17246,3.6219,-0.52204,6.09362
362,6/10/24 9:37,no moss,5563.06,4244.1,4,16.0181,-2.65097,7.31281,0.9862,0.97581,0.0462,0.01258,162.40132,0.365,18.5,0.015,96.33,2008.805,435.88,19,1.0581,5,42.53757,-72.17206,3.45961,-0.38357,4.50257
366,6/10/24 9:39,no moss,6199.06,4244.1,6,16.25345,-2.39966,6.34209,0.98077,0.99119,0.02157,0.01212,162.40249,0.317,17.8,0.012,96.33,2005.486,441.69,20,0.82478,5,42.5374,-72.17207,4.03618,-0.31207,2.83627
356,6/10/24 9:41,no moss,5563.06,4244.1,4,16.27625,-1.33574,3.27632,0.96776,0.94406,0.03205,0.0098,162.40355,0,17.6,0.001,96.34,2012.308,431.45,19,0.47471,5,42.53743,-72.17201,5.18015,-0.19354,6.84008
351,6/10/24 9:43,no moss,5563.06,4244.1,4,16.25319,-2.35149,2.9612,0.98423,0.94904,0.02755,0.01195,162.40507,0.296,17.19,0.012,96.33,2012.368,422.45,19,0.42874,5,42.53755,-72.17209,3.67912,-0.34046,6.52001
217,6/10/24 9:45,no moss,5245.06,4244.1,3,16.21965,-2.09674,2.82891,0.98881,0.88245,0.04401,0.00951,162.40635,0.062,17,0.004,96.34,2008.609,431.95,19,0.43478,5,42.53741,-72.172,3.14885,-0.32225,10.18205
678,6/10/24 9:48,no moss,6040.06,4244.1,5.5,15.62031,2.10318,6.31524,0.9392,0.83907,0.10209,0.01975,162.40877,0.575,16.5,0.016,96.34,2027.471,442.25,19,0.84054,5,42.53782,-72.17178,7.14175,0.27993,12.19581
677,6/10/24 9:50,no moss,5563.06,4244.1,4,15.80575,0.10788,4.16048,0.1419,0.96974,0.02949,0.01064,162.40985,0.42,16.3,0.019,96.34,2027.638,433.74,19,0.60191,5,42.53779,-72.17172,68.21203,0.01561,5.02116
933,6/10/24 9:54,no moss,6517.06,4244.1,7,15.71332,8.25856,6.36801,0.99191,0.96321,0.04262,0.02554,162.41314,0.584,16.2,0.02,96.32,2071.879,430.58,19,0.78625,5,42.53799,-72.17236,2.73514,1.01968,5.53062
236,6/10/24 9:57,no moss,6040.06,4244.1,5.5,15.72334,-2.89974,4.76724,0.96512,0.81701,0.08336,0.02037,162.41472,0,16,0.001,96.32,2006.297,431.58,19,0.63512,5,42.538,-72.17243,5.38623,-0.38632,13.17175
165,6/10/24 9:58,no moss,5722.06,4244.1,4.5,15.74628,-1.89382,3.48088,0.98933,0.94484,0.0328,0.00767,162.41588,0.23,16,0.008,96.32,2012.416,424.45,19,0.48944,5,42.53807,-72.17247,3.08228,-0.26629,6.79109
175,6/10/24 10:00,no moss,6358.06,4244.1,6.5,15.8923,-1.96543,2.8238,0.96739,0.8517,0.04135,0.01266,162.41704,0.2312,15.88,0.0082,96.33,2011.082,421.25,19,0.35729,5,42.5382,-72.17261,5.20967,-0.24868,11.6252
176,6/10/24 10:02,no moss,5881.06,4244.1,5,15.9422,-1.96294,3.51865,0.98593,0.96469,0.02557,0.00891,162.41847,0.36,15.8,0.014,96.32,2007.744,431.98,19,0.48187,5,42.53824,-72.1726,3.4909,-0.26882,5.41847
153,6/10/24 10:04,no moss,6040.06,4244.1,5.5,16.26237,-0.16639,4.91564,0.00893,0.89586,0.06206,0.0649,162.41981,0.2664,15.78,0.0106,96.33,2010.333,430.92,19,0.65628,5,42.53827,-72.17259,292.17436,-0.02221,9.51997
318,6/10/24 10:08,no moss,6040.06,4244.1,5.5,16.42895,-1.97426,3.0487,0.89052,0.94796,0.02645,0.02563,162.42288,0.223,16,0.009,96.33,2029.552,429.13,19,0.40707,5,42.53804,-72.17225,9.78636,-0.26361,6.59083
309,6/10/24 10:11,no moss,6199.06,4244.1,6,16.37336,-0.70779,2.93334,0.88313,0.75156,0.06089,0.0093,162.42443,0.465,16,0.024,96.33,2012.594,454.15,19,0.38187,5,42.53796,-72.17203,10.14922,-0.09214,15.98391
302,6/10/24 10:13,no moss,6358.06,4244.1,6.5,16.36185,-3.40028,5.2677,0.97426,0.98262,0.02464,0.01944,162.42631,0.31,16.1,0.013,96.31,2007.245,426.24,19,0.66804,5,42.53807,-72.17186,4.64015,-0.43121,3.84849
288,6/10/24 10:19,no moss,5563.06,4244.1,4,16.54987,-2.34755,6.3283,0.99681,0.96934,0.04526,0.00534,162.43001,0,16.1,0.001,96.26,2011.865,417.44,19,0.9175,5,42.53693,-72.17338,1.91672,-0.34036,5.05357
583,6/10/24 10:21,no moss,5881.06,4244.1,5,16.63307,-3.23581,2.04216,0.97116,0.92593,0.02201,0.02125,162.43134,0,16.1,0.001,96.26,2001.535,425.91,19,0.28064,5,42.53682,-72.17331,4.90427,-0.44468,7.92099
380,6/10/24 10:23,no moss,5563.06,4244.1,4,16.90474,-3.54048,2.44952,0.96925,0.94549,0.02372,0.02543,162.4327,0.319,16.5,0.01,96.27,2006.342,421.4,19,0.35619,5,42.53669,-72.17309,5.06073,-0.51482,6.74944
386,6/10/24 10:24,no moss,5722.06,4244.1,4.5,16.88474,-3.31748,2.88718,0.98758,0.94756,0.02663,0.01458,162.43377,0.283,16.7,0.018,96.27,2002.559,426.46,20,0.40817,5,42.53668,-72.17324,3.29827,-0.469,6.61628
895,6/10/24 11:11,no moss this is real measurement,5563.06,4244.1,4,18.06427,-0.63939,1.32422,0.8743,0.68577,0.03633,0.00983,162.4665,0.3077,18.06,0.011,96.12,2010.615,416.22,20,0.1935,5,42.53813,-72.17715,10.57391,-0.09343,18.80627
892,6/10/24 11:13,no moss ,5881.06,4244.1,5,18.13279,-1.20555,1.41946,0.9538,0.70164,0.03546,0.01017,162.46765,0.417,17.8,0.022,96.13,2011.746,413.48,20,0.19609,5,42.53811,-72.17718,6.20235,-0.16654,18.11918
889,6/10/24 11:14,no moss ,5881.06,4244.1,5,17.93419,-0.85626,1.90322,0.94735,0.91615,0.02206,0.00773,162.46859,0.25065,17.405,0.01225,96.14,2012.538,417.62,19,0.26291,5,42.53814,-72.17727,6.63009,-0.11829,8.46226
893,6/10/24 11:16,no moss ,5722.06,4244.1,4.5,18.04215,-1.18331,0.01444,0.90174,0.00012,0.05287,0.01538,162.46957,0.341,17.1,0.015,96.14,2013.086,413.05,19,0.00205,5,42.53811,-72.17738,9.22143,-0.168,2578.95521
880,6/10/24 11:17,no moss ,5563.06,4244.1,4,18.03522,-1.5793,1.79316,0.97943,0.87292,0.0277,0.00927,162.47046,0.343,17.3,0.015,96.14,2012.743,412.25,19,0.26175,5,42.53814,-72.17739,4.16697,-0.23054,10.63945
